size,position,algorithm,time
320,1,Binaria,4452
320,1,Galopante,5490
320,2,Secuencial,22805
320,2,Binaria,4520
320,2,Galopante,5590
320,3,Secuencial,23733
320,3,Binaria,4584
320,3,Galopante,5690
320,4,Secuencial,24675
320,4,Binaria,4649
320,4,Galopante,5783
340,0,Secuencial,24729
340,0,Binaria,4720
340,0,Galopante,5833
340,1,Secuencial,24859
340,1,Binaria,4765
340,1,Galopante,5903
340,2,Secuencial,25482
340,2,Binaria,4831
340,2,Galopante,5995
340,3,Secuencial,26739
340,3,Binaria,4894
340,3,Galopante,6091
340,4,Secuencial,27678
340,4,Binaria,4956
340,4,Galopante,6183
360,0,Secuencial,27736
360,0,Binaria,5033
360,0,Galopante,6230
360,1,Secuencial,27870
360,1,Binaria,5116
360,1,Galopante,6306
360,2,Secuencial,28542
360,2,Binaria,5188
360,2,Galopante,6402
360,3,Secuencial,29546
360,3,Binaria,5255
360,3,Galopante,6498
360,4,Secuencial,30590
360,4,Binaria,5322
360,4,Galopante,6605
380,0,Secuencial,30646
380,0,Binaria,5396
380,0,Galopante,6652
380,1,Secuencial,30779
380,1,Binaria,5469
380,1,Galopante,6719
380,2,Secuencial,31409
380,2,Binaria,5536
380,2,Galopante,6828
380,3,Secuencial,32469
380,3,Binaria,5601
380,3,Galopante,6921
380,4,Secuencial,33545
380,4,Binaria,5666
380,4,Galopante,7021
400,0,Secuencial,33601
400,0,Binaria,5730
400,0,Galopante,7066
400,1,Secuencial,33728
400,1,Binaria,5797
400,1,Galopante,7139
400,2,Secuencial,34376
400,2,Binaria,5863
400,2,Galopante,7235
400,3,Secuencial,35476
400,3,Binaria,5916
400,3,Galopante,7344
400,4,Secuencial,36611
400,4,Binaria,5987
400,4,Galopante,7437
420,0,Secuencial,36667
420,0,Binaria,6047
420,0,Galopante,7485
420,1,Secuencial,36796
420,1,Binaria,6129
420,1,Galopante,7558
420,2,Secuencial,37482
420,2,Binaria,6195
420,2,Galopante,7653
420,3,Secuencial,38617
420,3,Binaria,6263
420,3,Galopante,7752
420,4,Secuencial,39796
420,4,Binaria,6334
420,4,Galopante,7852
440,0,Secuencial,39853
440,0,Binaria,6394
440,0,Galopante,7901
440,1,Secuencial,39987
440,1,Binaria,6469
440,1,Galopante,7973
440,2,Secuencial,40701
440,2,Binaria,6532
440,2,Galopante,8070
440,3,Secuencial,41890
440,3,Binaria,6600
440,3,Galopante,8171
440,4,Secuencial,43103
440,4,Binaria,6670
440,4,Galopante,8270
460,0,Secuencial,43160
460,0,Binaria,6752
460,0,Galopante,8316
460,1,Secuencial,43283
460,1,Binaria,6812
460,1,Galopante,8386
460,2,Secuencial,44006
460,2,Binaria,6875
460,2,Galopante,8480
460,3,Secuencial,45239
460,3,Binaria,6946
460,3,Galopante,8569
460,4,Secuencial,46515
460,4,Binaria,7014
460,4,Galopante,8673
480,0,Secuencial,46570
480,0,Binaria,7096
480,0,Galopante,8722
480,1,Secuencial,46699
480,1,Binaria,7179
480,1,Galopante,8795
480,2,Secuencial,47443
480,2,Binaria,7244
480,2,Galopante,8890
480,3,Secuencial,48646
480,3,Binaria,7299
480,3,Galopante,8988
480,4,Secuencial,49869
480,4,Binaria,7366
480,4,Galopante,9087
500,0,Secuencial,49926
500,0,Binaria,7445
500,0,Galopante,9139
500,1,Secuencial,50061
500,1,Binaria,7515
500,1,Galopante,9207
500,2,Secuencial,50771
500,2,Binaria,7578
500,2,Galopante,9295
500,3,Secuencial,52018
500,3,Binaria,7633
500,3,Galopante,9383
500,4,Secuencial,53376
500,4,Binaria,7703
500,4,Galopante,9491
520,0,Secuencial,53432
520,0,Binaria,7776
520,0,Galopante,9538
520,1,Secuencial,53563
520,1,Binaria,7856
520,1,Galopante,9610
520,2,Secuencial,54369
520,2,Binaria,7928
520,2,Galopante,9707
520,3,Secuencial,55733
520,3,Binaria,8001
520,3,Galopante,9807
520,4,Secuencial,57138
520,4,Binaria,8061
520,4,Galopante,9876
540,0,Secuencial,57195
540,0,Binaria,8140
540,0,Galopante,9919
540,1,Secuencial,57318
540,1,Binaria,8217
540,1,Galopante,9995
540,2,Secuencial,58162
540,2,Binaria,8285
540,2,Galopante,10079
540,3,Secuencial,59577
540,3,Binaria,8350
540,3,Galopante,10183
540,4,Secuencial,61023
540,4,Binaria,8408
540,4,Galopante,10285
560,0,Secuencial,61078
560,0,Binaria,8480
560,0,Galopante,10332
560,1,Secuencial,61205
560,1,Binaria,8551
560,1,Galopante,10401
560,2,Secuencial,62045
560,2,Binaria,8624
560,2,Galopante,10499
560,3,Secuencial,63497
560,3,Binaria,8699
