size,position,algorithm,time
75000,3,Binaria,118.321
75000,3,Galopante,159.249
75000,4,Secuencial,186906
75000,4,Binaria,103.881
75000,4,Galopante,166.673
80000,0,Secuencial,44.215
80000,0,Binaria,118.081
80000,0,Galopante,42.394
80000,1,Secuencial,55633.4
80000,1,Binaria,132.172
80000,1,Galopante,327.705
80000,2,Secuencial,100142
80000,2,Binaria,128.255
80000,2,Galopante,157.419
80000,3,Secuencial,154474
80000,3,Binaria,119.71
80000,3,Galopante,164.949
80000,4,Secuencial,199158
80000,4,Binaria,103.647
80000,4,Galopante,186.878
85000,0,Secuencial,38.344
85000,0,Binaria,113.097
85000,0,Galopante,36.226
85000,1,Secuencial,57317.9
85000,1,Binaria,129.734
85000,1,Galopante,151.646
85000,2,Secuencial,107226
85000,2,Binaria,123.645
85000,2,Galopante,168.983
85000,3,Secuencial,152263
85000,3,Binaria,111.103
85000,3,Galopante,163.228
85000,4,Secuencial,206297
85000,4,Binaria,112.392
85000,4,Galopante,191.603
90000,0,Secuencial,30.019
90000,0,Binaria,96.87
90000,0,Galopante,31.989
90000,1,Secuencial,53136.1
90000,1,Binaria,111.613
90000,1,Galopante,134.129
90000,2,Secuencial,108030
90000,2,Binaria,109.81
90000,2,Galopante,149.924
90000,3,Secuencial,187580
90000,3,Binaria,139.397
90000,3,Galopante,212.471
90000,4,Secuencial,211642
90000,4,Binaria,116.866
90000,4,Galopante,175.336
95000,0,Secuencial,35.25
95000,0,Binaria,102.549
95000,0,Galopante,34.119
95000,1,Secuencial,66328
95000,1,Binaria,123.65
95000,1,Galopante,143.077
95000,2,Secuencial,113627
95000,2,Binaria,25.232
95000,2,Galopante,164.196
95000,3,Secuencial,174139
95000,3,Binaria,120.373
95000,3,Galopante,189.823
95000,4,Secuencial,227304
95000,4,Binaria,123.321
95000,4,Galopante,185.601
100000,0,Secuencial,31.084
100000,0,Binaria,91.048
100000,0,Galopante,32.028
100000,1,Secuencial,61150.4
100000,1,Binaria,116.558
100000,1,Galopante,144.539
100000,2,Secuencial,136717
100000,2,Binaria,152.727
100000,2,Galopante,182.535
100000,3,Secuencial,186425
100000,3,Binaria,127.251
100000,3,Galopante,186.78
100000,4,Secuencial,235007
100000,4,Binaria,127.226
100000,4,Galopante,168.168
5000,0,Secuencial,37.189
5000,0,Binaria,77.612
5000,0,Galopante,35.874
5000,1,Secuencial,2995.3
5000,1,Binaria,81.308
5000,1,Galopante,90.451
5000,2,Secuencial,5788.96
5000,2,Binaria,79.118
5000,2,Galopante,101.81
5000,3,Secuencial,8862.43
5000,3,Binaria,82.927
5000,3,Galopante,109.216
5000,4,Secuencial,13262.9
5000,4,Binaria,74.714
5000,4,Galopante,137.4
10000,0,Secuencial,35.626
10000,0,Binaria,79.359
10000,0,Galopante,34.005
10000,1,Secuencial,6032
10000,1,Binaria,87.891
10000,1,Galopante,106.879
10000,2,Secuencial,12486
10000,2,Binaria,86.155
10000,2,Galopante,117.211
10000,3,Secuencial,19562.8
10000,3,Binaria,93.715
10000,3,Galopante,130.456
10000,4,Secuencial,28144.5
10000,4,Binaria,80.265
10000,4,Galopante,150.293
15000,0,Secuencial,39.1
15000,0,Binaria,110.595
15000,0,Galopante,40.208
15000,1,Secuencial,9342.28
15000,1,Binaria,98.177
15000,1,Galopante,116.677
15000,2,Secuencial,19861.6
15000,2,Binaria,99.627
15000,2,Galopante,134.511
15000,3,Secuencial,30120.8
15000,3,Binaria,97.584
15000,3,Galopante,167.282
15000,4,Secuencial,39803.4
15000,4,Binaria,98.611
15000,4,Galopante,164.995
20000,0,Secuencial,29.021
20000,0,Binaria,81.929
20000,0,Galopante,30.683
20000,1,Secuencial,14562.6
20000,1,Binaria,104.453
20000,1,Galopante,133.382
20000,2,Secuencial,24287.6
20000,2,Binaria,93.149
20000,2,Galopante,127.639
20000,3,Secuencial,35466.7
20000,3,Binaria,88.485
20000,3,Galopante,131.441
20000,4,Secuencial,55140.6
20000,4,Binaria,92.736
20000,4,Galopante,182.071
25000,0,Secuencial,33.962
25000,0,Binaria,87.844
25000,0,Galopante,33.743
25000,1,Secuencial,15514.7
25000,1,Binaria,91.702
25000,1,Galopante,123.746
25000,2,Secuencial,31369
25000,2,Binaria,100.543
25000,2,Galopante,138.632
25000,3,Secuencial,51728.6
25000,3,Binaria,97.429
25000,3,Galopante,166.468
25000,4,Secuencial,65528.2
25000,4,Binaria,111.587
25000,4,Galopante,189.131
30000,0,Secuencial,34.07
30000,0,Binaria,92.239
30000,0,Galopante,32.756
30000,1,Secuencial,18687.9
30000,1,Binaria,98.805
30000,1,Galopante,126.919
30000,2,Secuencial,36427
30000,2,Binaria,95.659
30000,2,Galopante,137.11
30000,3,Secuencial,56009.3
30000,3,Binaria,100.83
30000,3,Galopante,174.505
30000,4,Secuencial,77154.7
30000,4,Binaria,107.617
30000,4,Galopante,178.456
35000,0,Secuencial,30.605
35000,0,Binaria,87.332
35000,0,Galopante,31.116
35000,1,Secuencial,22109.4
35000,1,Binaria,106.397
35000,1,Galopante,113.395
35000,2,Secuencial,45457.9
35000,2,Binaria,100.992
35000,2,Galopante,174.897
35000,3,Secuencial,76449.6
35000,3,Binaria,140.192
35000,3,Galopante,183.092
35000,4,Secuencial,82842.9
35000,4,Binaria,89.779
35000,4,Galopante,137.644
40000,0,Secuencial,29.913
40000,0,Binaria,86.974
40000,0,Galopante,31.592
40000,1,Secuencial,23362.2
40000,1,Binaria,99.425
40000,1,Galopante,121.941
40000,2,Secuencial,58014.1
40000,2,Binaria,125.004
40000,2,Galopante,167.472
40000,3,Secuencial,71251.5
40000,3,Binaria,101.774
40000,3,Galopante,139.613
40000,4,Secuencial,96524.4
40000,4,Binaria,92.608
40000,4,Galopante,163.501
45000,0,Secuencial,30.013
45000,0,Binaria,95.311
45000,0,Galopante,32.638
45000,1,Secuencial,26379.7
45000,1,Binaria,98.377
45000,1,Galopante,116.739
45000,2,Secuencial,55079
45000,2,Binaria,109.028
45000,2,Galopante,154.843
45000,3,Secuencial,79773.1
45000,3,Binaria,105.828
45000,3,Galopante,151.627
45000,4,Secuencial,110709
45000,4,Binaria,106.996
45000,4,Galopante,173.848
50000,0,Secuencial,38.117
50000,0,Binaria,89.644
50000,0,Galopante,36.715
50000,1,Secuencial,30793.3
50000,1,Binaria,98.693
50000,1,Galopante,182.816
50000,2,Secuencial,68249.1
50000,2,Binaria,121.998
50000,2,Galopante,162.834
50000,3,Secuencial,97188.3
50000,3,Binaria,108.707
50000,3,Galopante,198.584
50000,4,Secuencial,118731
50000,4,Binaria,107.852
50000,4,Galopante,160.044
55000,0,Secuencial,29.733
55000,0,Binaria,80.008
55000,0,Galopante,31.217
55000,1,Secuencial,32531.9
55000,1,Binaria,92.733
55000,1,Galopante,130.515
55000,2,Secuencial,79248.6
55000,2,Binaria,121.477
55000,2,Galopante,166.464
55000,3,Secuencial,100804
55000,3,Binaria,105.875
55000,3,Galopante,176.832
55000,4,Secuencial,144834
55000,4,Binaria,121.051
55000,4,Galopante,189.23
60000,0,Secuencial,38.545
60000,0,Binaria,108.265
60000,0,Galopante,36.335
60000,1,Secuencial,37680.9
60000,1,Binaria,109.352
60000,1,Galopante,139.542
60000,2,Secuencial,72164.1
60000,2,Binaria,101.333
60000,2,Galopante,152.104
60000,3,Secuencial,117320
60000,3,Binaria,113.035
60000,3,Galopante,198.273
60000,4,Secuencial,143920
60000,4,Binaria,111.293
60000,4,Galopante,177.844
65000,0,Secuencial,29.813
